Latitude,Longitude,Region,Subregion,Error
-4.02596301,34.50822471,Singida,Mkalama,0
-8.57148856,33.44991499,Mbeya,Chunya,0
-2.50670896,32.0118141,Geita,Geita,0
-3.363681,36.72002605,Arusha,Arusha,0
-6.96839746,39.08681603,Dar es Salaam,Ilala,0
-6.37275189,38.35172048,Pwani,Bagamoyo,0
-3.25233472,30.9082292,Kigoma,Kakonko,0
-10.66296868,35.65686511,Ruvuma,Songea,0
-2.8528492,32.88685392,Mwanza,Misungwi,0
-10.46735817,36.13244508,Ruvuma,Namtumbo,0
-6.87575725,39.2326073,Dar es Salaam,Ilala,0
-6.88329466,39.25354774,Dar es Salaam,Temeke,0
-3.821738,33.30840363,Shinyanga,Shinyanga,0
-11.263398,34.79128086,Ruvuma,Nyasa,0
-7.85425891,31.1757775,Rukwa,Nkasi,0
-4.26860253,38.05357002,Kilimanjaro,Same,0
-11.40079283,36.42848862,Ruvuma,Namtumbo,0
-6.14814684,39.2228004,Mjini Magharibi,Mjini,0
-8.79798017,34.99025617,Iringa,Mufindi,0
-6.29072293,35.88227777,Dodoma,Chamwino,0
-4.57358799,33.03776076,Tabora,Nzega,0
-5.24594851,39.78153458,Kusini Pemba,Chake Chake,0
-3.20246304,37.20556708,Kilimanjaro,Hai,0
-10.75077606,38.53076548,Mtwara,Masasi,0
-6.57002874,35.51702142,Dodoma,Chamwino,0
-6.9315708,39.2627114,Dar es Salaam,Temeke,0
-5.95904711,36.69328201,Dodoma,Kongwa,0
-10.91989576,39.38172881,Mtwara,Newala,0
-1.94038467,32.85856349,Mwanza,Ukerewe,0
-9.33031317,33.71555106,Mbeya,Rungwe,0
-3.35037913,37.30188854,Kilimanjaro,Moshi,0
-3.36559136,33.53726776,Shinyanga,Kishapu,0
-9.23731241,34.89157655,Njombe,Njombe,0
-9.49385658,34.65333495,Njombe,Njombe,0
-10.67473747,35.64183403,Ruvuma,Songea,0
-9.93089752,39.72115387,Lindi,Lindi,0
-3.90304871,35.81426291,Manyara,Babati,0
-6.83370162,39.24087062,Dar es Salaam,Ilala,0
-3.62754058,33.40638784,Shinyanga,Shinyanga,0
-2.04015789,33.83592211,Mara,Bunda,0
-2.74515319,31.88753692,Geita,Geita,0
-3.67416708,33.4410097,Shinyanga,Shinyanga,0
-7.75707127,35.48008133,Iringa,Iringa,0
-7.2557727,31.39929365,Katavi,Mlele,0
-6.17026527,39.22253025,Mjini Magharibi,Mjini,0
-10.51940931,38.67832566,Mtwara,Masasi,0
-8.46032763,32.15847508,Rukwa,Sumbawanga,0
-7.68149797,36.03874388,Iringa,Kilolo,0
-2.7743338,32.70359252,Mwanza,Sengerema,0
-1.49823944,33.80838533,Mara,Butiam,0
-4.79615125,38.29238409,Tanga,Lushoto,0
-2.4168124,32.93534714,Mwanza,Ilemela,0
-7.28900961,38.99792171,Pwani,Mkuranga,0
-11.04289071,37.43360887,Ruvuma,Tunduru,0
-9.2401144,33.3392101,Mbeya,Mbeya,0
-4.64239636,38.32172276,Tanga,Lushoto,0
-8.29548706,31.52009092,Rukwa,Kalambo,0
-6.88544157,39.15487472,Dar es Salaam,Ilala,0
-8.58424757,35.20765615,Iringa,Mufindi,0
-2.03701413,33.02725406,Mwanza,Ukerewe,0
-3.54557136,36.98624673,Manyara,Simanjiro,0
-10.28169602,40.19747509,Mtwara,Mtwara,0
-9.33519347,34.76612567,Njombe,Njombe,0
-11.10779697,39.32546201,Mtwara,Masasi,0
-9.2956571,32.75979208,Songwe,Tunduma,0
-6.8190738,39.23891902,Dar es Salaam,Kinondoni,0
-8.61632576,39.26433887,Lindi,Kilwa,0
-3.14734128,32.36980862,Geita,Geita,0
-3.34885542,35.78177151,Arusha,Karatu,0
-5.60573615,36.56213198,Manyara,Kiteto,0
-1.87536698,33.70180501,Mara,Musoma,0
-6.22058606,39.23271071,Mjini Magharibi,Magharibi,0
-4.6137183,34.94999894,Singida,Singida,0
-2.84404439,33.08184245,Mwanza,Misungwi,0
-7.78092072,35.69345854,Iringa,Iringa,0
-3.28253814,32.87852015,Shinyanga,Shinyanga,0
-10.77977942,39.54916804,Mtwara,Tandahimba,0
-8.84422538,34.82567814,Njombe,Makambako,0
-7.11044993,31.1672481,Katavi,Mlele,0
-10.66317936,38.75113804,Mtwara,Masasi,0
-8.63565828,31.4297796,Rukwa,Kalambo,0
-10.85329033,39.27796148,Mtwara,Newala,0
-4.76098716,34.58148382,Singida,Ikungi,0
-6.907859,39.16891368,Pwani,,0
-9.01023669,33.00566594,Songwe,Mbozi,0
-1.9593884,35.3481662,Arusha,Ngorongoro,0
-8.9059578,33.46199561,Mbeya,Mbeya,0
-10.62934442,35.70397749,Ruvuma,Songea,0
-5.24108321,32.3378338,Tabora,Urambo,0
-3.35808547,36.68217033,Arusha,Arusha,0
-9.40559508,39.59767219,Lindi,Kilwa,0
-6.12111736,38.40738057,Pwani,Bagamoyo,0
-6.85707122,39.281856,Dar es Salaam,Temeke,0
-3.42071962,30.74115794,Kigoma,Kakonko,0
-6.79824409,39.24889276,Dar es Salaam,Kinondoni,0
-10.66145048,35.6571607,Ruvuma,Songea,0
-6.16361129,39.19200013,Mjini Magharibi,Mjini,0
-7.75096627,35.86473801,Iringa,Kilolo,0
-10.78434469,38.62104282,Mtwara,Masasi,0
-5.61821773,32.74653101,Tabora,Sikonge,0
-8.84722257,34.82323638,Njombe,Makambako,0
-6.15377987,35.73856115,Dodoma,Dodoma,0
-4.21586683,35.73768191,Manyara,Babati,0
-8.69595658,34.37510245,Mbeya,Mbarali,0
-8.77739677,33.64056205,Mbeya,Mbarali,0
-7.25199364,31.3957734,Katavi,Mlele,0
-2.59702558,32.91295724,Mwanza,Nyamangana,0
-1.30202403,33.94418538,Mara,Rorya,0
-6.89787669,39.2830428,Dar es Salaam,Temeke,0
-4.77570805,33.23885743,Tabora,Nzega,0
-9.29416408,32.76011677,Songwe,Tunduma,0
-10.5510232,39.79038202,Mtwara,Mtwara,0
-4.36296249,35.07469497,Manyara,Hanang,0
-8.80259681,34.22394153,Mbeya,Mbarali,0
-9.46324568,33.95387329,Mbeya,Kyela,0
-10.84909193,39.69424186,Mtwara,Tandahimba,0
-8.86080931,34.00851804,Mbeya,Mbarali,0
-7.93436739,35.6278811,Iringa,Iringa,0
-6.15644492,39.21356562,Mjini Magharibi,Mjini,0
-1.49754357,33.81603689,Mara,Butiam,0
-2.41581483,32.93551543,Mwanza,Ilemela,0
-10.34493185,40.24871853,Mtwara,Mtwara,0
-6.84497565,39.27956453,Dar es Salaam,Temeke,0
-4.26984915,38.05020494,Kilimanjaro,Same,0
-6.19109467,31.22189671,Katavi,Mlele,0
-1.56820611,30.88957993,Kagera,Kyerwa,0
-3.25324702,34.21561015,Simiyu,Meatu,0
-9.95411008,39.32896618,Lindi,Lindi,0
-5.05285781,33.49013642,Tabora,Uyui,0
-2.40197557,32.33061363,Mwanza,Sengerema,0
-10.44232974,36.05889648,Ruvuma,Namtumbo,0
-2.53515039,32.96039055,Mwanza,Ilemela,0
-4.06512087,35.287878,Manyara,Mbulu,0
-2.75271505,31.88174461,Geita,Geita,0
-10.82883369,34.88715401,Ruvuma,Mbinga,0
-2.77698039,32.70353693,Mwanza,Sengerema,0
-3.87124918,35.65140866,Manyara,Mbulu,0
-5.86747215,35.07340002,Singida,Manyoni,0
-4.87336232,38.45562212,Tanga,Lushoto,0
-6.18496445,39.20751854,Mjini Magharibi,Mjini,0
-6.79394649,39.25060514,Dar es Salaam,Kinondoni,0
-3.28725739,37.37457776,Kilimanjaro,Moshi,0
-9.33152241,33.33314555,Songwe,Ileje,0
-3.35345953,37.56766843,Kilimanjaro,Moshi,0
-5.01134334,32.80219587,Tabora,Tabora,0
-2.06047855,35.47690956,Arusha,Ngorongoro,0
-3.54591074,36.98623599,Manyara,Simanjiro,0
-8.07454891,31.93359156,Rukwa,Sumbawanga,0
-5.86640949,35.13522844,Singida,Manyoni,0
-2.76908119,32.69199577,Mwanza,Sengerema,0
-6.74329579,32.48178859,Katavi,Mlele,0
-8.59099637,35.1509784,Iringa,Mufindi,0
-4.45559913,33.95443295,Tabora,Igunga,0
-8.90599987,33.45582863,Mbeya,Mbeya,0
-4.60328192,34.65739762,Singida,Singida,0
-2.60928014,32.06952484,Geita,Geita,0
-1.72366316,33.96093475,Mara,Butiam,0
-2.63641127,32.276207,Geita,Geita,0
-5.18317805,39.79331772,Kaskazini Pemba,Wete,0
-6.81183082,39.24486004,Dar es Salaam,Kinondoni,0
-6.65747231,37.14427667,Morogoro,Kilosa,0
-5.1255918,38.38524386,Tanga,Korogwe,0
-6.12843214,39.21582054,Mjini Magharibi,Mjini,0
-7.49026552,30.59743845,Rukwa,Nkasi,0
-3.52560802,35.34401988,Arusha,Karatu,0
-8.69675715,34.37410226,Mbeya,Mbarali,0
-6.66206172,37.13560507,Morogoro,Kilosa,0
-4.18594431,33.13411497,Tabora,Nzega,0
-11.11299177,38.47258353,Mtwara,Nanyumbu,0
-7.14185755,39.07477526,Pwani,Mkuranga,0
-6.1426296,39.24135098,Mjini Magharibi,Mjini,0
-4.18818739,33.12339937,Tabora,Nzega,0
-6.84478612,39.27936424,Dar es Salaam,Temeke,0
-6.17313051,39.22520596,Mjini Magharibi,Mjini,0
-9.1647253,33.81672376,Mbeya,Rungwe,0
-6.2128151,34.83488068,Singida,Manyoni,0
-4.46697392,35.6914641,Manyara,Babati,0
-2.90537229,32.74709935,Mwanza,Sengerema,0
-4.84930262,34.83936291,Singida,Singida,0
-9.01146875,33.0058365,Songwe,Mbozi,0
-6.14842407,39.22327488,Mjini Magharibi,Mjini,0
-2.01801786,33.87929589,Mara,Bunda,0
-7.69716667,35.62144157,Iringa,Iringa,0
-4.74490019,29.69786834,Kigoma,Kigoma,0
-11.11272355,38.47243233,Mtwara,Nanyumbu,0
-3.30082306,34.20970241,Simiyu,Meatu,0
-3.38768013,36.67018635,Arusha,Arusha,0
-1.513483333,33.80910833,Mara,Butiam,0
-6.9315708,39.2627114,Dar es Salaam,Temeke,0
-4.54526887,31.96504315,Tabora,Kaliua,0
-5.10497032,32.39614252,Tabora,Uyui,0
-4.63834819,38.19302168,Tanga,Lushoto,0
-2.3471848,32.29514132,Mwanza,Sengerema,0
-6.26492575,36.86952162,Morogoro,Gairo,0
-4.64297816,38.32027555,Tanga,Lushoto,0
-11.03985621,37.18550503,Ruvuma,Tunduru,0
-2.06375248,35.55783901,Arusha,Ngorongoro,0
-6.3010552,33.8464893,Tabora,Sikonge,0
-5.6152902,38.27523165,Tanga,Handeni,0
-3.10371833,31.08311552,Kagera,Biharamulo,0
-9.00006582,34.54952903,Njombe,Wanging'Ombe,0
-10.18190967,38.94369096,Lindi,Ruangwa,0
-4.19671195,34.82012815,Singida,Mkalama,0
-11.04075401,37.18215336,Ruvuma,Tunduru,0
-6.84930458,39.14634213,Dar es Salaam,Ilala,0
-3.07038458,33.35456879,Mwanza,Kwimba,0
-7.87313813,30.79579202,Rukwa,Nkasi,0
-2.52324417,32.9633466,Mwanza,Ilemela,0
-10.12837585,39.13902221,Lindi,Lindi,0
-4.26899287,35.68585912,Manyara,Babati,0
-5.32225456,34.51866283,Singida,Ikungi,0
-8.76477963,31.84099756,Rukwa,Kalambo,0
-3.90650787,35.81326419,Manyara,Babati,0
-2.97975921,34.25997655,Simiyu,Itilima,0
-2.37759425,33.58020621,Simiyu,Busega,0
-5.88782787,39.25354988,Kaskazini Unguja,Kaskazini A,0
-4.90785445,29.66219149,Kigoma,Kigoma,0
-2.63496088,33.97212444,Simiyu,Bariadi,0
-7.1912438,31.0230858,Rukwa,Nkasi,0
-2.10328037,31.49477829,Kagera,Muleba,0
-6.79246421,39.24096052,Dar es Salaam,Kinondoni,0
-3.55917051,36.98752188,Manyara,Simanjiro,0
-3.82075436,37.45852171,Manyara,Simanjiro,0
-8.37036345,31.71733285,Rukwa,Kalambo,0
-10.95118591,39.02943048,Mtwara,Masasi,0
-10.28781511,40.11716219,Mtwara,Mtwara,0
-2.76972569,32.59721338,Mwanza,Sengerema,0
-9.32794077,33.70485014,Mbeya,Rungwe,0
-5.13292761,39.09779805,Tanga,Tanga,0
-8.97346102,33.95758911,Njombe,Makete,0
-7.42924087,31.37628465,Katavi,Mlele,0
-2.53901406,33.19913276,Mwanza,Magu,0
-3.2110815,37.26119281,Kilimanjaro,Hai,0
-7.10650673,31.16539028,Katavi,Mlele,0
-10.28663736,40.11660894,Mtwara,Mtwara,0
-5.87981062,35.12091632,Singida,Manyoni,0
-3.16987238,33.30070343,Mwanza,Kwimba,0
-5.04113107,34.75543669,Singida,Ikungi,0
-2.53412705,32.9334154,Mwanza,Nyamangana,0
-5.32912051,34.51970501,Singida,Ikungi,0
-10.82753216,34.88608082,Ruvuma,Mbinga,0
-6.80008942,39.25587238,Dar es Salaam,Kinondoni,0
-6.89734008,39.25251101,Dar es Salaam,Temeke,0
-7.78266677,35.71353921,Iringa,Iringa,0
-10.49310594,39.32399928,Mtwara,Newala,0
-9.33685716,34.76602903,Njombe,Njombe,0
-6.85479661,30.52560027,Katavi,Mpanda,0
-6.48475253,31.11700089,Katavi,Mlele,0
-10.6924375,39.39622712,Mtwara,Newala,0
-2.64129716,32.78497788,Mwanza,Sengerema,0
-10.64299737,38.84682819,Mtwara,Masasi,0
-3.7395845,37.66097462,Kilimanjaro,Mwanga,0
-9.20338115,34.56230988,Njombe,Wanging'Ombe,0
-2.51805908,32.91151083,Mwanza,Nyamangana,0
-9.10401988,33.18237257,Songwe,Mbozi,0
-2.80144328,33.99066817,Simiyu,Bariadi,0
-9.44254948,33.55591341,Songwe,Ileje,0
-4.35681597,37.82229085,Kilimanjaro,Same,0
-3.25256551,34.21581578,Simiyu,Meatu,0
-4.54506088,31.96525931,Tabora,Kaliua,0
-3.36665,37.31894578,Kilimanjaro,Moshi,0
-1.63072348,31.4444322,Kagera,Bukoba,0
-9.9546047,39.3312374,Lindi,Lindi,0
-4.48944833,35.60621038,Manyara,Hanang,0
-2.19564071,31.4453483,Kagera,Muleba,0
-11.1442306,37.51043957,Ruvuma,Tunduru,0
-3.00227934,31.94634938,Geita,Geita,0
-1.33544666,30.90514149,Kagera,Kyerwa,0
-4.18856676,35.02130396,Manyara,Mbulu,0
-5.03742624,38.88133178,Tanga,Muhenza,0
-3.04413667,31.37515589,Kagera,Biharamulo,0
-6.34568194,31.06963465,Katavi,Mpanda,0
-4.82323234,34.75150072,Singida,Singida,0
-1.86377073,33.86566712,Mara,Butiam,0
-4.89514514,38.57562744,Tanga,Korogwe,0
-1.2084734,31.40702103,Kagera,Missenyi,0
-5.6035235,36.56622213,Manyara,Kiteto,0
-5.97476711,29.8558862,Kigoma,Uvinza,0
-3.36690233,36.71639398,Arusha,Arusha,0
-4.19998243,30.49019359,Kigoma,Kasulu,0
-6.05904296,37.09621341,Morogoro,Kilosa,0
-10.28039768,40.19798672,Mtwara,Mtwara,0
-3.07907467,32.08482512,Geita,Geita,0
-6.34188456,31.06501653,Katavi,Mpanda,0
-8.89603665,31.69135651,Rukwa,Kalambo,0
-7.90939012,39.67025028,Pwani,Mafia,0
-6.23990749,39.53002163,Kusini Unguja,Kusini,0
-4.26883701,38.05366424,Kilimanjaro,Same,0
-4.94376761,38.91569094,Tanga,Mkinga,0
-10.37810849,39.84105614,Mtwara,Mtwara,0
-2.77705018,32.70325823,Mwanza,Sengerema,0
-2.96388908,33.34136673,Mwanza,Kwimba,0
-5.60583316,36.56220798,Manyara,Kiteto,0
-3.82128147,37.45937808,Manyara,Simanjiro,0
-8.29794105,35.28261623,Iringa,Mafinga,0
-3.44341054,37.43350271,Kilimanjaro,Moshi,0
-7.97537328,31.62948858,Rukwa,Sumbawanga,0
-2.52353798,32.96287743,Mwanza,Ilemela,0
-7.83894072,35.63901913,Iringa,Iringa,0
-10.86094034,39.28015863,Mtwara,Newala,0
-2.7041969,33.48898559,Mwanza,Kwimba,0
-2.87092776,33.28539729,Mwanza,Misungwi,0
-10.56219073,39.17012933,Mtwara,Newala,0
-3.34845771,37.45972362,Kilimanjaro,Moshi,0
-11.0779344,38.27428188,Mtwara,Nanyumbu,0
-4.9623914,34.94209994,Singida,Ikungi,0
-8.68693457,36.70569744,Morogoro,Ulanga,0
-3.56436697,36.981236,Manyara,Simanjiro,0
-3.42285549,30.73986588,Kigoma,Kakonko,0
-10.89369061,38.98678043,Mtwara,Masasi,0
-3.37269987,36.65886685,Arusha,Arusha,0
-7.38040163,31.36433706,Katavi,Mlele,0
-1.09999698,34.01068207,Mara,Rorya,0
-3.20096297,34.42226654,Simiyu,Meatu,0
-7.97989495,31.63732392,Rukwa,Sumbawanga,0
-8.82504475,34.95897234,Njombe,Makambako,0
-8.84854135,32.28139491,Songwe,Momba,0
-5.04609537,33.50275378,Tabora,Uyui,0
-6.18737528,39.21642681,Mjini Magharibi,Mjini,0
-5.87349655,39.29242091,Kaskazini Unguja,Kaskazini A,0
-5.87508574,39.25421677,"Cannot perform query. Invalid query parameters.
Unable to find address for the specified location.
(Error Code: 400)","Cannot perform query. Invalid query parameters.
Unable to find address for the specified location.
(Error Code: 400)",1
-6.20828975,39.38595408,Kusini Unguja,Kati,0
-3.56110445,33.89019596,Shinyanga,Kishapu,0
-10.60394336,35.61389089,Ruvuma,Songea,0
-4.91505073,34.9322268,Singida,Ikungi,0
-6.16179331,34.85768851,Singida,Manyoni,0
-9.07789148,34.64863803,Njombe,Wanging'Ombe,0
-5.76318261,38.70204478,Tanga,Pangani,0
-7.98007421,31.63642835,Rukwa,Sumbawanga,0
-6.75196766,38.93443502,Pwani,Kibaha,0
-6.48566739,35.94317457,Dodoma,Chamwino,0
-1.2492613,31.66375809,Kagera,Missenyi,0
-9.24949583,32.83672081,Songwe,Momba,0
-8.9347279,33.34383537,Mbeya,Mbeya,0
-10.9005635,39.63933033,Mtwara,Tandahimba,0
-2.96186355,34.14980382,Simiyu,Itilima,0
-11.26003475,34.79370865,Ruvuma,Nyasa,0
-10.79380808,38.31886634,Mtwara,Nanyumbu,0
-7.52048382,39.28717392,Pwani,Mkuranga,0
-5.23830196,39.77754525,Kusini Pemba,Chake Chake,0
-2.775613,33.79582784,Simiyu,Bariadi,0
-6.13742058,39.2299461,Mjini Magharibi,Mjini,0
-10.36984939,39.22202423,Mtwara,Masasi,0
-3.86417081,32.61096808,Shinyanga,Kahama,0
-5.9826281,39.28633805,Kaskazini Unguja,Kaskazini B,0
-7.75079037,35.86439729,Iringa,Kilolo,0
-5.24615167,39.78143195,Kusini Pemba,Chake Chake,0
-9.34715435,34.26107808,Njombe,Makete,0
-3.3982567,36.53061889,Arusha,Arusha,0
-2.97961298,34.26951563,Simiyu,Itilima,0
-3.82886085,30.63578559,Kigoma,Kibondo,0
-6.12581581,39.21908934,Mjini Magharibi,Mjini,0
-7.16685836,30.53541916,Rukwa,Nkasi,0
-6.15547513,39.21214849,Mjini Magharibi,Mjini,0
-6.78398339,39.23907275,Dar es Salaam,Kinondoni,0
-6.74275359,32.4828697,Katavi,Mlele,0
-6.79266758,39.24104556,Dar es Salaam,Kinondoni,0
-9.60132419,33.86540375,Mbeya,Kyela,0
-8.95197592,33.2472504,Mbeya,Mbeya,0
-5.67741518,38.42596582,Tanga,Handeni,0
-10.95117284,39.02942834,Mtwara,Masasi,0
-2.41576732,32.93513819,Mwanza,Ilemela,0
-9.17487934,32.86261477,Songwe,Mbozi,0
-7.7867178,31.68321256,Rukwa,Sumbawanga,0
-6.76880221,39.26405277,Dar es Salaam,Kinondoni,0
-3.1968299,37.64921843,Kilimanjaro,Rombo,0
-8.89792931,33.45461859,Mbeya,Mbeya,0
-9.00691627,33.06786191,Songwe,Mbozi,0
-8.8397914,34.80556386,Njombe,Makambako,0
-7.11897799,39.20020136,Pwani,Mkuranga,0
-2.3165226,32.68359959,Mwanza,Ukerewe,0
-9.00113291,32.81152582,Songwe,Mbozi,0
-4.21669112,35.73719283,Manyara,Babati,0
-7.94528007,31.63928359,Rukwa,Sumbawanga,0
-6.17593511,39.24438569,Mjini Magharibi,Mjini,0
-8.123703333,35.41988333,Iringa,Iringa,0
-4.60708784,34.46569426,Singida,Iramba,0
-6.9609591,39.33518612,Dar es Salaam,Temeke,0
-10.45259034,39.41370685,Mtwara,Tandahimba,0
-6.53845003,38.99098686,Pwani,Bagamoyo,0
-4.48128438,34.19434508,Singida,Iramba,0
-1.23491863,30.94732567,Kagera,Kyerwa,0
-8.40938256,35.86671721,Iringa,Mufindi,0
-6.48597688,31.11694042,Katavi,Mlele,0
-4.577621,30.30197705,Kigoma,Kasulu,0
-3.74512346,37.66581917,Kilimanjaro,Mwanga,0
-6.48498319,35.9396049,Dodoma,Chamwino,0
-7.49088353,30.59588886,Rukwa,Nkasi,0
-5.95372638,39.26361911,Kaskazini Unguja,Kaskazini B,0
-5.35043282,39.70198644,Kusini Pemba,Mkoani,0
-1.39600436,34.61866544,Mara,Tarime,0
-9.49381113,34.65333197,Njombe,Njombe,0
-6.19354766,36.37210779,Dodoma,Kongwa,0
-10.69411832,39.79462458,Mtwara,Mtwara,0
-8.56232816,35.33730898,Iringa,Mufindi,0
-10.09801643,34.68720648,Njombe,Ludewa,0
-8.93452549,33.34370465,Mbeya,Mbeya,0
-8.35152098,31.83401754,Rukwa,Sumbawanga,0
-9.98759706,38.96513558,Lindi,Ruangwa,0
-2.38679631,33.0974413,Mwanza,Magu,0
-2.85607833,30.54668671,Kagera,Ngara,0
-4.07344199,37.98993946,Kilimanjaro,Same,0
-5.95281681,36.69148604,Dodoma,Kongwa,0
-3.42992368,37.29028215,Kilimanjaro,Hai,0
-8.80651286,34.97653982,Iringa,Mufindi,0
-4.61062194,35.03751934,Singida,Singida,0
-2.37699202,33.58296862,Simiyu,Busega,0
-10.86313849,39.0273079,Mtwara,Masasi,0
-7.483167,31.1886637,Rukwa,Nkasi,0
-3.38730819,36.67108307,Arusha,Arusha,0
-5.236976,39.78055734,Kusini Pemba,Chake Chake,0
-2.45652762,33.63985383,Simiyu,Busega,0
-6.20668558,34.83609918,Singida,Manyoni,0
-1.7829369,34.72699171,Mara,Serengeti,0
-6.87165795,38.57174931,Pwani,Kibaha,0
-4.2047482,32.3317639,Shinyanga,Kahama,0
-6.14432233,35.73491203,Dodoma,Dodoma,0
-10.91792067,38.00300388,Ruvuma,Tunduru,0
-4.51031234,34.17508038,Singida,Iramba,0
-5.9292991,39.23305559,Kaskazini Unguja,Kaskazini B,0
-4.43152603,34.46535786,Singida,Iramba,0
-4.35179691,34.43500094,Singida,Iramba,0
-6.17382447,35.63868799,Dodoma,Dodoma,0
-5.13615772,34.77292563,Singida,Ikungi,0
-2.55508903,33.05301926,Mwanza,Magu,0
-6.82306714,39.31010674,Dar es Salaam,Temeke,0
-1.33337217,30.90686376,Kagera,Kyerwa,0
-5.08773967,31.84774317,Tabora,Kaliua,0
-8.8968281,31.69163011,Rukwa,Kalambo,0
-8.29701557,34.90484875,Iringa,Mufindi,0
-6.34406329,31.08271349,Katavi,Mpanda,0
-4.58013448,30.30333675,Kigoma,Kasulu,0
-9.01237977,33.06852293,Songwe,Mbozi,0
-5.34683515,36.43176734,Manyara,Kiteto,0
-4.86423507,30.34151737,Kigoma,Kasulu,0
-6.16179411,39.19224583,Mjini Magharibi,Mjini,0
-7.5015281,31.43542195,Rukwa,Sumbawanga,0
-6.15754665,39.24593387,Mjini Magharibi,Magharibi,0
-7.9430481,31.63910122,Rukwa,Sumbawanga,0
-8.50902625,35.05529754,Iringa,Mufindi,0
-2.50529542,32.00958825,Geita,Geita,0
-7.11938933,37.80366999,Morogoro,Morogoro,0
-10.54991271,39.78831149,Mtwara,Mtwara,0
-6.88039775,39.25065422,Dar es Salaam,Temeke,0
-6.33041005,31.0647317,Katavi,Mpanda,0
-4.88724787,29.6395777,Kigoma,Kigoma,0
-1.1786183,31.42526578,Kagera,Missenyi,0
-6.52282744,37.21554076,Morogoro,Kilosa,0
-2.88023283,37.37064856,Kilimanjaro,Rombo,0
-5.0832584,31.8480266,Tabora,Kaliua,0
-3.87096745,32.76275042,Shinyanga,Kahama,0
-6.33419394,31.07925116,Katavi,Mpanda,0
-10.60621956,39.62229155,Lindi,Lindi,0
-9.21565219,33.07897805,Songwe,Mbozi,0
-6.77383675,36.64776269,Morogoro,Kilosa,0
-2.53345247,32.93166034,Mwanza,Nyamangana,0
-5.12847181,39.10187005,Tanga,Tanga,0
-7.99728094,35.51670356,Iringa,Iringa,0
-9.5999838,33.86392212,Mbeya,Kyela,0
-2.47921856,32.90873052,Mwanza,Ilemela,0
-5.24569982,39.76819199,Kusini Pemba,Chake Chake,0
-3.72084914,32.67924265,Shinyanga,Kahama,0
