counter,Latitude,Longitude,District,Errors
88,-3.35037913,37.30188854,Moshi Municipal,0
89,-3.36559136,33.53726776,Kishapu,0
90,-9.23731241,34.89157655,Njombe Rural,0
91,-9.49385658,34.65333495,Njombe Urban,0
92,-10.67473747,35.64183403,Songea Urban,0
93,-9.93089752,39.72115387,Lindi Urban,0
94,-3.90304871,35.81426291,Babati,0
95,-6.83370162,39.24087062,Ilala,0
96,-3.62754058,33.40638784,Shinyanga Urban,0
97,-2.04015789,33.83592211,Bunda,0
98,-2.74515319,31.88753692,Geita,0
99,-3.67416708,33.4410097,Shinyanga Urban,0
100,-7.75707127,35.48008133,Iringa Rural,0
101,-7.2557727,31.39929365,Mlele,0
102,-6.17026527,39.22253025,Mjini,0
103,-10.51940931,38.67832566,Masasi,0
104,-8.46032763,32.15847508,Sumbawanga Rural,0
105,-7.68149797,36.03874388,Kilolo,0
106,-2.7743338,32.70359252,Sengerema,0
107,-1.49823944,33.80838533,Musoma Municipal,0
108,-4.79615125,38.29238409,Lushoto,0
109,-2.4168124,32.93534714,Ilemela,0
110,-7.28900961,38.99792171,Mkuranga,0
111,-11.04289071,37.43360887,Tunduru,0
112,-9.2401144,33.3392101,Mbeya Rural,0
113,-4.64239636,38.32172276,Lushoto,0
114,-8.29548706,31.52009092,Kalambo,0
115,-6.88544157,39.15487472,Ilala,0
116,-8.58424757,35.20765615,Mufindi,0
117,-2.03701413,33.02725406,Ukerewe,0
118,-3.54557136,36.98624673,Simanjiro,0
119,-10.28169602,40.19747509,Mtwara Urban,0
120,-9.33519347,34.76612567,Njombe Urban,0
121,-11.10779697,39.32546201,Masasi,0
122,-9.2956571,32.75979208,Tunduma,0
123,-6.8190738,39.23891902,Kinondoni,0
124,-8.61632576,39.26433887,Kilwa,0
125,-3.14734128,32.36980862,Geita,0
126,-3.34885542,35.78177151,Karatu,0
127,-5.60573615,36.56213198,Kiteto,0
128,-1.87536698,33.70180501,Musoma,0
129,-6.22058606,39.23271071,Magharibi,0
130,-4.6137183,34.94999894,Singida,0
131,-2.84404439,33.08184245,Misungwi,0
132,-7.78092072,35.69345854,Iringa Urban,0
133,-3.28253814,32.87852015,Shinyanga Rural,0
134,-10.77977942,39.54916804,Tandahimba,0
135,-8.84422538,34.82567814,Makambako Township Authority,0
136,-7.11044993,31.1672481,Mlele,0
137,-10.66317936,38.75113804,Masasi Township Authority,0
138,-8.63565828,31.4297796,Kalambo,0
139,-10.85329033,39.27796148,Newala,0
140,-4.76098716,34.58148382,Ikungi,0
141,-6.907859,39.16891368,Ilala,0
142,-9.01023669,33.00566594,Mbozi,0
143,-1.9593884,35.3481662,Ngorongoro,0
144,-8.9059578,33.46199561,Mbeya Urban,0
145,-10.62934442,35.70397749,Songea Urban,0
146,-5.24108321,32.3378338,Urambo,0
147,-3.35808547,36.68217033,Arusha,0
148,-9.40559508,39.59767219,Kilwa,0
149,-6.12111736,38.40738057,Bagamoyo,0
150,-6.85707122,39.281856,Temeke,0
151,-3.42071962,30.74115794,Kakonko,0
152,-6.79824409,39.24889276,Kinondoni,0
153,-10.66145048,35.6571607,Songea Urban,0
154,-6.16361129,39.19200013,Mjini,0
155,-7.75096627,35.86473801,Kilolo,0
156,-10.78434469,38.62104282,Masasi,0
157,-5.61821773,32.74653101,Sikonge,0
158,-8.84722257,34.82323638,Makambako Township Authority,0
159,-6.15377987,35.73856115,Dodoma Urban,0
160,-4.21586683,35.73768191,Babati Urban,0
161,-8.69595658,34.37510245,Mbarali,0
162,-8.77739677,33.64056205,Mbarali,0
163,-7.25199364,31.3957734,Mlele,0
164,-2.59702558,32.91295724,Nyamagana,0
165,-1.30202403,33.94418538,Rorya,0
166,-6.89787669,39.2830428,Temeke,0
167,-4.77570805,33.23885743,Nzega,0
168,-9.29416408,32.76011677,Tunduma,0
169,-10.5510232,39.79038202,Mtwara Rural,0
170,-4.36296249,35.07469497,Hanang,0
171,-8.80259681,34.22394153,Mbarali,0
172,-9.46324568,33.95387329,Kyela,0
173,-10.84909193,39.69424186,Tandahimba,0
174,-8.86080931,34.00851804,Mbarali,0
175,-7.93436739,35.6278811,Iringa Rural,0
176,-6.15644492,39.21356562,Mjini,0
177,-1.49754357,33.81603689,Musoma Municipal,0
178,-2.41581483,32.93551543,Ilemela,0
179,-10.34493185,40.24871853,Mtwara Rural,0
180,-6.84497565,39.27956453,Temeke,0
181,-4.26984915,38.05020494,Same,0
182,-6.19109467,31.22189671,Mlele,0
183,-1.56820611,30.88957993,Kyerwa,0
184,-3.25324702,34.21561015,Meatu,0
185,-9.95411008,39.32896618,Lindi Rural,0
186,-5.05285781,33.49013642,Uyui,0
187,-2.40197557,32.33061363,Sengerema,0
188,-10.44232974,36.05889648,Namtumbo,0
189,-2.53515039,32.96039055,Ilemela,0
190,-4.06512087,35.287878,Mbulu,0
191,-2.75271505,31.88174461,Geita,0
192,-10.82883369,34.88715401,Mbinga,0
193,-2.77698039,32.70353693,Sengerema,0
194,-3.87124918,35.65140866,Mbulu,0
195,-5.86747215,35.07340002,Manyoni,0
196,-4.87336232,38.45562212,Lushoto,0
197,-6.18496445,39.20751854,Mjini,0
198,-6.79394649,39.25060514,Kinondoni,0
199,-3.28725739,37.37457776,Moshi,0
200,-9.33152241,33.33314555,Ileje,0
201,-3.35345953,37.56766843,Moshi,0
202,-5.01134334,32.80219587,Tabora Urban,0
203,-2.06047855,35.47690956,Ngorongoro,0
204,-3.54591074,36.98623599,Simanjiro,0
205,-8.07454891,31.93359156,Sumbawanga Rural,0
206,-5.86640949,35.13522844,Manyoni,0
207,-2.76908119,32.69199577,Sengerema,0
208,-6.74329579,32.48178859,Mlele,0
209,-8.59099637,35.1509784,Mufindi,0
210,-4.45559913,33.95443295,Igunga,0
211,-8.90599987,33.45582863,Mbeya Urban,0
212,-4.60328192,34.65739762,Singida,0
213,-2.60928014,32.06952484,Geita,0
214,-1.72366316,33.96093475,Butiama,0
215,-2.63641127,32.276207,Geita,0
216,-5.18317805,39.79331772,Wete,0
217,-6.81183082,39.24486004,Kinondoni,0
218,-6.65747231,37.14427667,Kilosa,0
219,-5.1255918,38.38524386,Korogwe,0
220,-6.12843214,39.21582054,Magharibi,0
221,-7.49026552,30.59743845,Nkasi,0
222,-3.52560802,35.34401988,Karatu,0
223,-8.69675715,34.37410226,Mbarali,0
224,-6.66206172,37.13560507,Kilosa,0
225,-4.18594431,33.13411497,Nzega,0
226,-11.11299177,38.47258353,Nanyumbu,0
227,-7.14185755,39.07477526,Mkuranga,0
228,-6.1426296,39.24135098,Magharibi,0
229,-4.18818739,33.12339937,Nzega,0
230,-6.84478612,39.27936424,Temeke,0
231,-6.17313051,39.22520596,Mjini,0
232,-9.1647253,33.81672376,Rungwe,0
233,-6.2128151,34.83488068,Manyoni,0
234,-4.46697392,35.6914641,Babati,0
235,-2.90537229,32.74709935,Sengerema,0
236,-4.84930262,34.83936291,Singida Urban,0
237,-9.01146875,33.0058365,Mbozi,0
238,-6.14842407,39.22327488,Magharibi,0
239,-2.01801786,33.87929589,Bunda,0
240,-7.69716667,35.62144157,Iringa Rural,0
241,-4.74490019,29.69786834,Kigoma Rural,0
242,-11.11272355,38.47243233,Nanyumbu,0
243,-3.30082306,34.20970241,Meatu,0
244,-3.38768013,36.67018635,Arusha Urban,0
245,-1.513483333,33.80910833,Musoma Municipal,0
246,-6.9315708,39.2627114,Temeke,0
247,-4.54526887,31.96504315,Kaliua,0
248,-5.10497032,32.39614252,Uyui,0
249,-4.63834819,38.19302168,Lushoto,0
250,-2.3471848,32.29514132,Sengerema,0
251,-6.26492575,36.86952162,Gairo,0
252,-4.64297816,38.32027555,Lushoto,0
253,-11.03985621,37.18550503,Tunduru,0
254,-2.06375248,35.55783901,Ngorongoro,0
255,-6.3010552,33.8464893,Sikonge,0
256,-5.6152902,38.27523165,Handeni,0
257,-3.10371833,31.08311552,Biharamulo,0
258,-9.00006582,34.54952903,Wanging'ombe,0
259,-10.18190967,38.94369096,Ruangwa,0
260,-4.19671195,34.82012815,Mkalama,0
261,-11.04075401,37.18215336,Tunduru,0
262,-6.84930458,39.14634213,Ilala,0
263,-3.07038458,33.35456879,Kwimba,0
264,-7.87313813,30.79579202,Nkasi,0
265,-2.52324417,32.9633466,Ilemela,0
266,-10.12837585,39.13902221,Lindi Rural,0
267,-4.26899287,35.68585912,Babati Urban,0
268,-5.32225456,34.51866283,Ikungi,0
269,-8.76477963,31.84099756,Kalambo,0
270,-3.90650787,35.81326419,Babati,0
271,-2.97975921,34.25997655,Itilima,0
272,-2.37759425,33.58020621,Busega,0
273,-5.88782787,39.25354988,Kaskazini A,0
274,-4.90785445,29.66219149,Kigoma Municipal-Ujiji,0
275,-2.63496088,33.97212444,Bariadi,0
276,-7.1912438,31.0230858,Nkasi,0
277,-2.10328037,31.49477829,Muleba,0
278,-6.79246421,39.24096052,Kinondoni,0
279,-3.55917051,36.98752188,Simanjiro,0
280,-3.82075436,37.45852171,Simanjiro,0
281,-8.37036345,31.71733285,Kalambo,0
282,-10.95118591,39.02943048,Masasi,0
283,-10.28781511,40.11716219,Mtwara Urban,0
284,-2.76972569,32.59721338,Sengerema,0
285,-9.32794077,33.70485014,Rungwe,0
286,-5.13292761,39.09779805,Tanga,0
287,-8.97346102,33.95758911,Makete,0
288,-7.42924087,31.37628465,Mlele,0
289,-2.53901406,33.19913276,Magu,0
290,-3.2110815,37.26119281,Hai,0
291,-7.10650673,31.16539028,Mlele,0
292,-10.28663736,40.11660894,Mtwara Urban,0
293,-5.87981062,35.12091632,Manyoni,0
294,-3.16987238,33.30070343,Kwimba,0
295,-5.04113107,34.75543669,Ikungi,0
296,-2.53412705,32.9334154,Ilemela,0
297,-5.32912051,34.51970501,Ikungi,0
298,-10.82753216,34.88608082,Mbinga,0
299,-6.80008942,39.25587238,Kinondoni,0
300,-6.89734008,39.25251101,Temeke,0
301,-7.78266677,35.71353921,Iringa Urban,0
302,-10.49310594,39.32399928,Newala,0
303,-9.33685716,34.76602903,Njombe Urban,0
304,-6.85479661,30.52560027,Mpanda Rural,0
305,-6.48475253,31.11700089,Mlele,0
306,-10.6924375,39.39622712,Newala,0
307,-2.64129716,32.78497788,Sengerema,0
308,-10.64299737,38.84682819,Masasi Township Authority,0
309,-3.7395845,37.66097462,Mwanga,0
310,-9.20338115,34.56230988,Wanging'ombe,0
311,-2.51805908,32.91151083,Nyamagana,0
312,-9.10401988,33.18237257,Mbozi,0
313,-2.80144328,33.99066817,Bariadi,0
314,-9.44254948,33.55591341,Ileje,0
315,-4.35681597,37.82229085,Same,0
316,-3.25256551,34.21581578,Meatu,0
317,-4.54506088,31.96525931,Kaliua,0
318,-3.36665,37.31894578,Moshi Municipal,0
319,-1.63072348,31.4444322,Bukoba Rural,0
320,-9.9546047,39.3312374,Lindi Rural,0
321,-4.48944833,35.60621038,Hanang,0
322,-2.19564071,31.4453483,Muleba,0
323,-11.1442306,37.51043957,Tunduru,0
324,-3.00227934,31.94634938,Geita,0
325,-1.33544666,30.90514149,Kyerwa,0
326,-4.18856676,35.02130396,Mbulu,0
327,-5.03742624,38.88133178,Muheza,0
328,-3.04413667,31.37515589,Biharamulo,0
329,-6.34568194,31.06963465,Mpanda Urban,0
330,-4.82323234,34.75150072,Singida Urban,0
331,-1.86377073,33.86566712,Butiama,0
332,-4.89514514,38.57562744,Korogwe,0
333,-1.2084734,31.40702103,Missenyi,0
334,-5.6035235,36.56622213,Kiteto,0
335,-5.97476711,29.8558862,Uvinza,0
336,-3.36690233,36.71639398,Arusha Urban,0
337,-4.19998243,30.49019359,Kasulu,0
338,-6.05904296,37.09621341,Kilosa,0
339,-10.28039768,40.19798672,Mtwara Urban,0
340,-3.07907467,32.08482512,Geita,0
341,-6.34188456,31.06501653,Mpanda Urban,0
342,-8.89603665,31.69135651,Kalambo,0
343,-7.90939012,39.67025028,Mafia,0
344,-6.23990749,39.53002163,Kusini,0
345,-4.26883701,38.05366424,Same,0
346,-4.94376761,38.91569094,Mkinga,0
347,-10.37810849,39.84105614,Mtwara Rural,0
348,-2.77705018,32.70325823,Sengerema,0
349,-2.96388908,33.34136673,Kwimba,0
350,-5.60583316,36.56220798,Kiteto,0
351,-3.82128147,37.45937808,Simanjiro,0
352,-8.29794105,35.28261623,Mafinga Township Authority,0
353,-3.44341054,37.43350271,Moshi,0
354,-7.97537328,31.62948858,Sumbawanga Urban,0
355,-2.52353798,32.96287743,Ilemela,0
356,-7.83894072,35.63901913,Iringa Rural,0
357,-10.86094034,39.28015863,Newala,0
358,-2.7041969,33.48898559,Magu,0
359,-2.87092776,33.28539729,Misungwi,0
360,-10.56219073,39.17012933,Newala,0
361,-3.34845771,37.45972362,Moshi,0
362,-11.0779344,38.27428188,Nanyumbu,0
363,-4.9623914,34.94209994,Ikungi,0
364,-8.68693457,36.70569744,Ulanga,0
365,-3.56436697,36.981236,Simanjiro,0
366,-3.42285549,30.73986588,Kakonko,0
367,-10.89369061,38.98678043,Masasi,0
368,-3.37269987,36.65886685,Arusha Urban,0
369,-7.38040163,31.36433706,Mlele,0
370,-1.09999698,34.01068207,Rorya,0
371,-3.20096297,34.42226654,Meatu,0
372,-7.97989495,31.63732392,Sumbawanga Urban,0
373,-8.82504475,34.95897234,Mufindi,0
374,-8.84854135,32.28139491,Momba,0
375,-5.04609537,33.50275378,Uyui,0
376,-6.18737528,39.21642681,Mjini,0
377,-5.87349655,39.29242091,Kaskazini A,0
378,-5.87508574,39.25421677,list index out of range,1
379,-6.20828975,39.38595408,Kati,0
380,-3.56110445,33.89019596,Kishapu,0
381,-10.60394336,35.61389089,Songea Urban,0
382,-4.91505073,34.9322268,Ikungi,0
383,-6.16179331,34.85768851,Manyoni,0
384,-9.07789148,34.64863803,Wanging'ombe,0
385,-5.76318261,38.70204478,Pangani,0
386,-7.98007421,31.63642835,Sumbawanga Urban,0
387,-6.75196766,38.93443502,Kibaha Urban,0
388,-6.48566739,35.94317457,Chamwino,0
389,-1.2492613,31.66375809,Missenyi,0
390,-9.24949583,32.83672081,Momba,0
391,-8.9347279,33.34383537,Mbeya Rural,0
392,-10.9005635,39.63933033,Tandahimba,0
393,-2.96186355,34.14980382,Itilima,0
394,-11.26003475,34.79370865,Nyasa,0
395,-10.79380808,38.31886634,Nanyumbu,0
396,-7.52048382,39.28717392,Mkuranga,0
397,-5.23830196,39.77754525,Chake Chake,0
398,-2.775613,33.79582784,Bariadi,0
399,-6.13742058,39.2299461,Magharibi,0
400,-10.36984939,39.22202423,Masasi,0
401,-3.86417081,32.61096808,Kahama Township Authority,0
402,-5.9826281,39.28633805,Kaskazini B,0
403,-7.75079037,35.86439729,Kilolo,0
404,-5.24615167,39.78143195,Chake Chake,0
405,-9.34715435,34.26107808,Makete,0
406,-3.3982567,36.53061889,Arusha,0
407,-2.97961298,34.26951563,Itilima,0
408,-3.82886085,30.63578559,Kibondo,0
409,-6.12581581,39.21908934,Magharibi,0
410,-7.16685836,30.53541916,Nkasi,0
411,-6.15547513,39.21214849,Mjini,0
412,-6.78398339,39.23907275,Kinondoni,0
413,-6.74275359,32.4828697,Mlele,0
414,-6.79266758,39.24104556,Kinondoni,0
415,-9.60132419,33.86540375,Kyela,0
416,-8.95197592,33.2472504,Mbeya Rural,0
417,-5.67741518,38.42596582,Handeni,0
418,-10.95117284,39.02942834,Masasi,0
419,-2.41576732,32.93513819,Ilemela,0
420,-9.17487934,32.86261477,Mbozi,0
421,-7.7867178,31.68321256,Sumbawanga Rural,0
422,-6.76880221,39.26405277,Kinondoni,0
423,-3.1968299,37.64921843,Rombo,0
424,-8.89792931,33.45461859,Mbeya Urban,0
425,-9.00691627,33.06786191,Mbozi,0
426,-8.8397914,34.80556386,Makambako Township Authority,0
427,-7.11897799,39.20020136,Mkuranga,0
428,-2.3165226,32.68359959,Sengerema,0
429,-9.00113291,32.81152582,Mbozi,0
430,-4.21669112,35.73719283,Babati Urban,0
431,-7.94528007,31.63928359,Sumbawanga Urban,0
432,-6.17593511,39.24438569,Magharibi,0
433,-8.123703333,35.41988333,Iringa Rural,0
434,-4.60708784,34.46569426,Iramba,0
435,-6.9609591,39.33518612,Mkuranga,0
436,-10.45259034,39.41370685,Tandahimba,0
437,-6.53845003,38.99098686,Bagamoyo,0
438,-4.48128438,34.19434508,Iramba,0
439,-1.23491863,30.94732567,Kyerwa,0
440,-8.40938256,35.86671721,Mufindi,0
441,-6.48597688,31.11694042,Mlele,0
442,-4.577621,30.30197705,Kasulu,0
443,-3.74512346,37.66581917,Mwanga,0
444,-6.48498319,35.9396049,Chamwino,0
445,-7.49088353,30.59588886,Nkasi,0
446,-5.95372638,39.26361911,Kaskazini B,0
447,-5.35043282,39.70198644,Mkoani,0
448,-1.39600436,34.61866544,Tarime,0
449,-9.49381113,34.65333197,Njombe Urban,0
450,-6.19354766,36.37210779,Kongwa,0
451,-10.69411832,39.79462458,Mtwara Rural,0
452,-8.56232816,35.33730898,Mufindi,0
453,-10.09801643,34.68720648,Ludewa,0
454,-8.93452549,33.34370465,Mbeya Rural,0
455,-8.35152098,31.83401754,Sumbawanga Rural,0
456,-9.98759706,38.96513558,Ruangwa,0
457,-2.38679631,33.0974413,Magu,0
458,-2.85607833,30.54668671,Ngara,0
459,-4.07344199,37.98993946,Same,0
460,-5.95281681,36.69148604,Kongwa,0
461,-3.42992368,37.29028215,Hai,0
462,-8.80651286,34.97653982,Mufindi,0
463,-4.61062194,35.03751934,Singida,0
464,-2.37699202,33.58296862,Busega,0
465,-10.86313849,39.0273079,Masasi,0
466,-7.483167,31.1886637,Nkasi,0
467,-3.38730819,36.67108307,Arusha Urban,0
468,-5.236976,39.78055734,Chake Chake,0
469,-2.45652762,33.63985383,Busega,0
470,-6.20668558,34.83609918,Manyoni,0
471,-1.7829369,34.72699171,Serengeti,0
472,-6.87165795,38.57174931,Kibaha,0
473,-4.2047482,32.3317639,Kahama,0
474,-6.14432233,35.73491203,Dodoma Urban,0
475,-10.91792067,38.00300388,Tunduru,0
476,-4.51031234,34.17508038,Iramba,0
477,-5.9292991,39.23305559,Kaskazini B,0
478,-4.43152603,34.46535786,Iramba,0
479,-4.35179691,34.43500094,Iramba,0
480,-6.17382447,35.63868799,Dodoma Urban,0
481,-5.13615772,34.77292563,Ikungi,0
482,-2.55508903,33.05301926,Magu,0
483,-6.82306714,39.31010674,Temeke,0
484,-1.33337217,30.90686376,Kyerwa,0
485,-5.08773967,31.84774317,Kaliua,0
486,-8.8968281,31.69163011,Kalambo,0
487,-8.29701557,34.90484875,Mufindi,0
488,-6.34406329,31.08271349,Mpanda Urban,0
489,-4.58013448,30.30333675,Kasulu,0
490,-9.01237977,33.06852293,Mbozi,0
491,-5.34683515,36.43176734,Kiteto,0
492,-4.86423507,30.34151737,Kasulu,0
493,-6.16179411,39.19224583,Mjini,0
494,-7.5015281,31.43542195,Sumbawanga Rural,0
495,-6.15754665,39.24593387,Magharibi,0
496,-7.9430481,31.63910122,Sumbawanga Urban,0
497,-8.50902625,35.05529754,Mufindi,0
498,-2.50529542,32.00958825,Geita,0
499,-7.11938933,37.80366999,Morogoro,0
500,-10.54991271,39.78831149,Mtwara Rural,0
501,-6.88039775,39.25065422,Temeke,0
502,-6.33041005,31.0647317,Mpanda Urban,0
503,-4.88724787,29.6395777,Kigoma Municipal-Ujiji,0
504,-1.1786183,31.42526578,Missenyi,0
505,-6.52282744,37.21554076,Kilosa,0
506,-2.88023283,37.37064856,Longido,0
507,-5.0832584,31.8480266,Kaliua,0
508,-3.87096745,32.76275042,Kahama Township Authority,0
509,-6.33419394,31.07925116,Mpanda Urban,0
510,-10.60621956,39.62229155,Lindi Rural,0
511,-9.21565219,33.07897805,Mbozi,0
512,-6.77383675,36.64776269,Kilosa,0
513,-2.53345247,32.93166034,Ilemela,0
514,-5.12847181,39.10187005,Tanga,0
515,-7.99728094,35.51670356,Iringa Rural,0
516,-9.5999838,33.86392212,Kyela,0
517,-2.47921856,32.90873052,Ilemela,0
518,-5.24569982,39.76819199,Chake Chake,0
519,-3.72084914,32.67924265,Kahama Township Authority,0
520,-4.43502268,30.0259344,Buhigwe,0
521,-9.17483401,32.86467416,Mbozi,0
522,-5.246045,39.78137801,Chake Chake,0
523,-2.52542561,32.90297291,Nyamagana,0
524,-1.23731539,34.23270479,Rorya,0
525,-2.10725295,33.07570371,Ukerewe,0
526,-1.08950612,31.80645211,Bukoba Rural,0
527,-3.36888972,37.32185223,Moshi Municipal,0
528,-10.24395864,38.25157736,Liwale,0
529,-8.4969575,35.59040603,Mufindi,0
530,-4.87758741,31.58216771,Kaliua,0
531,-1.34095042,34.37663824,Tarime,0
532,-6.80158415,39.25609743,Kinondoni,0
533,-8.2821022,35.30936075,Mafinga Township Authority,0
534,-3.32835877,36.63483579,Arusha,0
535,-9.21278703,33.08299365,Mbozi,0
536,-6.33149809,31.06613597,Mpanda Urban,0
537,-8.92972574,33.51238083,Mbeya Urban,0
538,-7.10849667,31.16780022,Mlele,0
539,-8.27895244,36.16307724,Kilombero,0
540,-2.8026179,33.99149507,Bariadi,0
541,-2.51835783,32.91259294,Nyamagana,0
542,-2.54359886,32.97677956,Nyamagana,0
543,-3.36734938,36.68591192,Arusha Urban,0
544,-3.35181089,37.34883879,Moshi Municipal,0
545,-5.24626711,39.78130514,Chake Chake,0
546,-7.94871957,35.78571394,Kilolo,0
547,-9.33673156,34.76599755,Njombe Urban,0
548,-6.85826375,39.23409839,Ilala,0
549,-3.37442925,35.85421592,Monduli,0
550,-4.0548622,32.2425214,Kahama,0
551,-6.2417265,39.52942008,Kusini,0
552,-5.08542807,31.8466164,Kaliua,0
553,-9.17445188,32.86430025,Mbozi,0
554,-6.85287982,39.25271507,Temeke,0
555,-2.53364171,32.93235387,Ilemela,0
556,-6.16775092,35.89134876,Dodoma Urban,0
557,-10.244265,38.252655,Liwale,0
558,-2.77540106,33.7957137,Bariadi,0
559,-6.00263759,37.74761267,Mvomero,0
560,-10.69791682,35.80059476,Songea Rural,0
561,-8.29688495,31.51605986,Kalambo,0
562,-2.68138879,30.57979373,Ngara,0
563,-6.16083374,34.84364831,Manyoni,0
564,-8.8484316,34.82376479,Makambako Township Authority,0
565,-9.25321193,32.83682333,Momba,0
566,-8.54336613,34.44228444,Mbarali,0
567,-3.3829672,35.50345105,Karatu,0
568,-6.41000134,35.10642564,Manyoni,0
569,-8.68784496,36.70755481,Ulanga,0
570,-2.50287784,33.55026719,list index out of range,1
571,-2.46295318,32.38393955,Sengerema,0
572,-5.96836044,39.1961039,Kaskazini B,0
573,-4.80129305,32.4305851,Kaliua,0
574,-2.50691529,33.5462459,list index out of range,1
575,-5.44089624,37.76880523,Kilindi,0
576,-1.65080687,31.70747534,Muleba,0
577,-8.88302653,33.29293258,Mbeya Rural,0
578,-6.58663261,36.08064332,Mpwapwa,0
579,-9.08348006,33.56218862,Rungwe,0
580,-2.66954298,32.98413476,Misungwi,0
581,-6.4843023,35.93891991,Chamwino,0
582,-5.95469665,35.96853343,Dodoma Urban,0
583,-4.76089448,34.20092356,Ikungi,0
584,-7.82702156,33.35098808,Chunya,0
585,-1.33595176,30.90493275,Kyerwa,0
586,-11.14455462,37.51214093,Tunduru,0
587,-6.95155898,39.33050884,Temeke,0
588,-10.67272851,35.64100234,Songea Urban,0
589,-9.08371082,34.6534365,Wanging'ombe,0
590,-7.49695115,31.03376547,Nkasi,0
591,-2.74836403,31.62747449,Chato,0
592,-3.35898094,36.66100006,Arusha,0
593,-4.88163468,29.64783829,Kigoma Municipal-Ujiji,0
594,-6.89659107,39.25345484,Temeke,0
595,-6.94859114,39.23187993,Temeke,0
596,-3.34226538,35.7873348,Karatu,0
