region,district,ward,latitude,longitude,onsite_offsite,bank_type,bank_name,bank_name_short,yr_operation_started,number_atms,services_deposits,services_withdrawls,services_bill_payment,services_buy_airtime,other_services,visa_mastercard,umoja_nmb
Mtwara,Mtwara Urban,Railway,-10.26701,40.18717,On-site,Commercial Bank ATM,Bank of Africa (Tanzania) Limited,BoA,10/09/2013,1,,Yes,Yes,Yes,,Mastercard, 
Dar es Salaam,Ilala,Vingunguti,-6.84492,39.24294,On-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,15/09/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82766,39.25904,On-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,12/12/2003,1,,Yes,,,,Both, 
Morogoro,Morogoro Urban,Mji Kuu,-6.82751,37.66355,On-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,09/11/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82278,39.27469,On-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,10/10/2005,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.81932,39.27343,On-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,05/09/2012,1,,Yes,,,,Both, 
Arusha,Arusha,Kati,-3.37289,36.69424,On-site,Commercial Bank ATM,Bank of Africa (Tanzania) Limited,BoA,11/12/2012,1,,Yes,,,,VISA, 
Mbeya,Mbeya Urban,Sisimba,-8.89431,33.44173,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,23/05/2008,1,,Yes,Yes,Yes,,Mastercard, 
Iringa,Iringa Urban,Gangilonga,-7.77703,35.69863,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,01/07/2008,1,Yes,Yes,Yes,,,Both, 
Dar es Salaam,Ilala,Ilala,-6.83116,39.24915,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,17/02/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82127,39.27911,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,08/04/2008,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.81821,39.27731,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,06/12/2013,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kisutu,-6.81147,39.28751,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,06/01/2007,2,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kinondoni,-6.79015,39.27151,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,16/12/2012,1,,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Msasani,-6.7477,39.28415,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,28/01/2008,1,,Yes,,,,VISA, 
Dodoma,Dodoma Urban,Madukani,-6.18111,35.74444,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,20/02/2009,1,,Yes,Yes,,,Both, 
Zanzibar,Zanzibar,Welezo,-6.16427,39.19378,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,27/06/2007,1,,Yes,,,,Mastercard, 
Kilimanjaro,Moshi Urban,Bondeni,-3.35661,37.33954,On-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,14/09/2003,1,,Yes,Yes,,,Both, 
Mwanza,Nyamagana,Nyamagana,-2.52232,32.90417,On-site,Community Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,05/02/2010,1,Yes,,,,,Mastercard, 
Mbeya,Mbozi,Vwawa,-9.10913,32.93277,On-site,Commercial Bank ATM,Commercial Bank of Africa (Tanzania) Limited,CBA,15/05/2008,1,,Yes,Yes,Yes,,Mastercard, 
Mbeya,Mbeya Urban,Iyela,-8.91212,33.46879,On-site,Commercial Bank ATM,Commercial Bank of Africa (Tanzania) Limited,CBA,01/03/2014,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Ilala,-6.82637,39.26395,On-site,Commercial Bank ATM,Commercial Bank of Africa (Tanzania) Limited,CBA,28/04/2004,1,,,,Yes,,VISA, 
Dar es Salaam,Ilala,Kariakoo,-6.81999,39.27678,On-site,Commercial Bank ATM,Commercial Bank of Africa (Tanzania) Limited,CBA,06/12/2013,1,,Yes,,,,Mastercard, 
Ruvuma,Mbinga,Mbinga Urban,-10.94787,34.99121,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,07/09/2011,1,,Yes,,,,Both, 
Ruvuma,Songea Urban,Songea Mjini,-10.67832,35.65321,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,25/03/2001,2,,Yes,,,,Both, 
Lindi,Nachingwea,Nambambo,-10.36053,38.7614,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/11/2013,1,Yes,Yes,,,,Both, 
Mbeya,Kyela,Katumba Songwe,-9.5874,33.77722,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,24/11/2012,1,Yes,Yes,,,,Both, 
Mbeya,Mbozi,Tunduma,-9.31495,32.76371,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,15/11/2012,1,Yes,Yes,Yes,Yes,,VISA, 
Mbeya,Mbeya Rural,Utengule Usongwe,-8.93592,33.35063,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,07/12/2010,1,,Yes,Yes,Yes,,Mastercard, 
Mbeya,Mbeya Urban,Maanga,-8.91148,33.45752,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,08/02/2011,4,Yes,Yes,Yes,Yes,,Both, 
Mbeya,Mbeya Urban,Sisimba,-8.89168,33.44585,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,07/07/2005,2,,Yes,Yes,Yes,,VISA, 
Iringa,Njombe,Makambako,-8.85657,34.82475,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,25/10/2011,1,Yes,Yes,Yes,Yes,,Both, 
Morogoro,Kilombero,Ifakara,-8.09647,36.68008,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,22/09/2013,3,,Yes,,,,Mastercard, 
Rukwa,Sumbawanga Urban,Katandala,-7.96715,31.6167,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,20/12/2011,2,,Yes,,,,Mastercard, 
Iringa,Iringa Urban,Mkwawa,-7.76266,35.68402,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,25/10/2008,1,,Yes,,,,Both, 
Morogoro,Kilombero,Kidatu,-7.66271,36.98849,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,01/07/2011,2,,Yes,Yes,,,Both, 
Morogoro,Mvomero,Mzumbe,-6.92742,37.56951,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,30/01/2002,1,,Yes,,,,Both, 
Dar es Salaam,Temeke,Mbagala,-6.9157,39.2702,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,12/10/2009,2,,Yes,,,,VISA, 
Morogoro,Morogoro Urban,Mbuyuni,-6.85167,37.65849,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,29/09/2008,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Tabata,-6.84645,39.18691,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,26/07/2009,2,,Yes,,Yes,,Both, 
Dar es Salaam,Temeke,Chang'ombe,-6.8396,39.25584,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/01/2013,3,,Yes,Yes,Yes,,Both, 
Dar es Salaam,Ilala,Segerea,-6.83627,39.21547,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,19/02/2013,1,,Yes,,,,VISA, 
Dar es Salaam,Temeke,Chang'ombe,-6.8348,39.26475,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,28/11/2009,1,Yes,,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82806,39.27487,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,11/12/2009,2,,Yes,,,,Mastercard, 
Morogoro,Morogoro Urban,Boma,-6.82738,37.66692,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,20/02/2002,1,,Yes,,,,Both, 
Morogoro,Morogoro Urban,Kingo,-6.82696,37.66779,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,20/07/2002,2,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.8265,39.26977,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,12/12/2008,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Gerezani,-6.82577,39.2832,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,06/01/2009,1,,Yes,Yes,Yes,,Both, 
Morogoro,Morogoro Urban,Sabasaba,-6.82437,37.66286,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,23/01/2010,3,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.8226,39.28034,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,09/05/2000,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82228,39.27753,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,04/03/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.81977,39.27984,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,08/07/2010,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kariakoo,-6.81873,39.27511,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,13/06/2013,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kariakoo,-6.81683,39.27816,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,12/12/2002,1,,Yes,,,,Mastercard, 
Dar es Salaam,Kinondoni,Ubungo,-6.79639,39.21927,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,20/01/2012,2,Yes,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Mbezi,-6.78739,39.11272,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,09/04/2013,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Ubungo,-6.78066,39.20148,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,25/01/2009,2,Yes,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kijitonyama,-6.77516,39.24428,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,28/06/1995,4,Yes,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Sinza,-6.77422,39.23429,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,07/05/2010,1,,Yes,,Yes,,VISA, 
Dar es Salaam,Kinondoni,Kawe,-6.73601,39.22447,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,03/10/2013,1,,Yes,Yes,,,Both, 
Dar es Salaam,Kinondoni,Bunju,-6.65773,39.18037,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,26/06/2012,3,Yes,Yes,Yes,,,Both, 
Pwani,Bagamoyo,Dunda,-6.44437,38.90786,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,14/11/2011,1,,Yes,Yes,Yes,,VISA, 
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34631,36.48615,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,23/11/2012,1,,Yes,Yes,Yes,,Both, 
Rukwa,Mpanda,Kashaulili,-6.34471,31.0701,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,17/08/2011,1,,Yes,Yes,Yes,,Both, 
Dodoma,Dodoma Urban,Ng'ong'ona,-6.22139,35.81074,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,22/11/2009,2,,Yes,Yes,Yes,,Both, 
Dodoma,Dodoma Urban,Madukani,-6.18151,35.74556,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,29/05/2013,2,,Yes,Yes,Yes,,Both, 
Dodoma,Dodoma Urban,Viwandani,-6.17874,35.74674,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,13/01/2003,3,,Yes,Yes,Yes,,Both, 
Dodoma,Dodoma Urban,Makole,-6.1747,35.76251,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,10/08/2008,1,,Yes,Yes,Yes,,Both, 
Zanzibar,Zanzibar,Fuoni Kibondeni,-6.16354,39.19135,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,17/08/2008,1,,Yes,,,,Both, 
Singida,Manyoni,Manyoni,-5.74858,34.83866,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,27/05/2013,1,Yes,Yes,,,,Both, 
Tanga,Korogwe,Korogwe,-5.15818,38.44875,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,02/04/2008,1,,Yes,Yes,Yes,,Mastercard, 
Tabora,Urambo,Urambo,-5.07654,32.07137,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,20/05/2012,2,Yes,Yes,Yes,Yes,,Both, 
Tabora,Tabora Urban,Mbugani,-5.01321,32.7866,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,06/10/2013,1,,Yes,Yes,Yes,,Mastercard, 
Dodoma,Kondoa,Kondoa Mjini,-4.90997,35.79095,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,02/01/2013,1,Yes,Yes,Yes,Yes,,Mastercard, 
Singida,Singida Urban,Majengo,-4.81776,34.75284,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,15/05/2009,2,,Yes,,,,Both, 
Singida,Iramba,Kiomboi,-4.28178,34.40744,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,25/05/2013,1,Yes,Yes,Yes,,,Both, 
Shinyanga,Kahama,Kahama Mjini,-3.82758,32.59603,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,10/05/2002,2,,Yes,,,,Both, 
Kilimanjaro,Mwanga,Mwanga,-3.65637,37.58802,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,10/08/2005,1,Yes,Yes,Yes,Yes,,VISA, 
Arusha,Arusha,Kati,-3.37549,36.6776,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,27/06/2012,4,,Yes,,,,VISA, 
Arusha,Arumeru,Usa River,-3.37318,36.84752,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,01/10/2011,3,,Yes,Yes,Yes,,Both, 
Arusha,Arusha,Kati,-3.37211,36.69461,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,13/01/1999,5,,Yes,Yes,Yes,,VISA, 
Arusha,Arusha,Kati,-3.37133,36.69511,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,16/11/1994,4,Yes,,Yes,Yes,,Both, 
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.34926,37.34366,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,07/02/1996,3,,Yes,,,,VISA, 
Arusha,Arumeru,Kimnyaki,-3.32034,36.63641,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,10/07/2013,1,,Yes,Yes,Yes,,Both, 
Mwanza,Geita,Kalangala,-2.8753,32.22541,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,19/09/2008,2,Yes,,,,,VISA, 
Shinyanga,Bariadi,Bariadi,-2.80544,33.98532,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,02/02/2014,2,,Yes,Yes,Yes,,Both, 
Mwanza,Nyamagana,Nyamagana,-2.6013,32.90017,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,23/06/2011,3,Yes,,,,,Both, 
Mwanza,Nyamagana,Nyamagana,-2.52932,32.90742,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,12/01/2009,3,Yes,,,,,Both, 
Mwanza,Nyamagana,Nyamagana,-2.51822,32.89824,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,13/11/2003,1,Yes,,,,,Mastercard, 
Mwanza,Nyamagana,Nyamagana,-2.51819,32.89821,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,01/01/2009,1,Yes,,,,,Mastercard, 
Mwanza,Ilemela,Kirumba,-2.5098,32.90298,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,23/03/2007,1,,Yes,,,,Both, 
Mwanza,Ilemela,Kirumba,-2.50631,32.89493,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,24/06/2011,1,,Yes,,,,Both, 
Mara,Bunda,Bunda,-2.02026,33.87076,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,16/02/2013,1,,Yes,,,,Both, 
Mara,Tarime,Tarime,-1.50859,33.80649,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,08/06/2009,1,,Yes,,,,VISA, 
Mara,Musoma Urban,Nyasho,-1.50711,33.80631,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,19/05/2012,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Magomeni,-6.80549,39.25249,On-site,UMOJA SWITCH ATM,DCB Commercial Bank Plc,DCB,10/05/2011,1,,Yes,,,,Mastercard, 
Dar es Salaam,Temeke,Chang'ombe,-6.83496,39.26451,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,23/08/2010,1,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Kariakoo,-6.81905,39.27976,On-site,UMOJA SWITCH ATM,DCB Commercial Bank Plc,DCB,06/09/2009,1,,Yes,,,,Both, 
Mbeya,Mbeya Urban,Sisimba,-8.89394,33.44162,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,17/11/2011,1,Yes,Yes,,,,VISA, 
Dar es Salaam,Temeke,Mbagala,-6.90627,39.2688,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,26/03/2012,1,,Yes,,,,VISA, 
Morogoro,Morogoro Urban,Kingo,-6.82637,37.66444,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,03/01/2012,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kisutu,-6.81861,39.28392,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,08/08/2012,2,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.81514,39.27504,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,30/03/2008,1,,Yes,,,,Mastercard, 
Dar es Salaam,Kinondoni,Kinondoni,-6.77759,39.26626,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,20/11/2011,1,,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Mbezi,-6.72536,39.21444,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,10/12/2012,1,,Yes,,,,Both, 
Zanzibar,Zanzibar,Fuoni Kibondeni,-6.16176,39.1891,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,11/04/2011,1,,Yes,,,,Both, 
Tabora,Tabora Urban,Mbugani,-5.01861,32.80279,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,02/10/2013,1,Yes,Yes,Yes,Yes,,Both, 
Kilimanjaro,Moshi Urban,Bondeni,-3.34802,37.34447,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,03/02/2013,1,,Yes,,,,VISA, 
Mwanza,Nyamagana,Nyamanoro,-2.52039,32.89914,On-site,Commercial Bank ATM,Diamond Trust Bank (Tanzania) Limited,Diamond Trust,15/07/2010,1,,Yes,,,,Both, 
Mbeya,Mbeya Urban,Iyela,-8.91293,33.47025,On-site,Commercial Bank ATM,Ecobank (Tanzania) Limited,Ecobank,15/10/2011,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82127,39.27306,On-site,Commercial Bank ATM,Ecobank (Tanzania) Limited,Ecobank,07/09/2010,1,,Yes,,,,Both, 
Manyara,Babati,Babati,-4.21365,35.74908,On-site,Commercial Bank ATM,Ecobank (Tanzania) Limited,Ecobank,10/12/2012,1,,Yes,,,,Both, 
Mwanza,Nyamagana,Nyamagana,-2.51917,32.89867,On-site,Commercial Bank ATM,Equity bank (Tanzania) Limited,Equity,20/12/2012,1,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Kariakoo,-6.82311,39.27527,On-site,Commercial Bank ATM,Equity bank (Tanzania) Limited,Equity,01/04/2011,1,,Yes,,,,Both, 
Arusha,Arusha,Kati,-3.37356,36.68552,On-site,Commercial Bank ATM,Equity bank (Tanzania) Limited,Equity,15/07/2010,2,,Yes,,,,VISA, 
Mtwara,Mtwara Urban,Shangani,-10.27963,40.18078,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,05/02/2000,1,,Yes,,Yes,,Both, 
Dar es Salaam,Ilala,Kipawa,-6.86312,39.20597,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,15/10/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Buguruni,-6.83844,39.24374,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,10/07/2008,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Buguruni,-6.83806,39.24351,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,30/12/2002,1,,Yes,Yes,Yes,,VISA, 
Dar es Salaam,Temeke,Chang'ombe,-6.83708,39.25937,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,16/09/2010,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Buguruni,-6.83403,39.2473,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,03/12/2007,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82735,39.27593,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,11/12/2001,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Ilala,-6.8271,39.26487,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,10/09/2010,1,,Yes,,,,Mastercard, 
Morogoro,Morogoro Urban,Sabasaba,-6.82641,37.66429,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,18/08/2008,1,,Yes,,,,Both, 
Morogoro,Morogoro Urban,Sabasaba,-6.82615,37.66424,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,27/02/2014,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kisutu,-6.82067,39.28462,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,01/05/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.81608,39.27803,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,06/03/2001,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kivukoni,-6.81438,39.29228,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,15/08/1998,2,,Yes,Yes,Yes,,Both, 
