region,district,ward,latitude,longitude,agent_name,standalone_agent,other_activities,trading_hours,provider_selcom,selcom_deposits_per_week,selcom_withdrawls_per_week,selcom_num_tills,selcom_training,selcom_training_type,selcom_tariff_guide,selcom_guidance_service_use,provider_maxmalipo,maxmalipo_deposits_per_week,maxmalipo_withdrawls_per_week,maxmalipo_num_tills,maxmalipo_training,maxmalipo_training_type,maxmalipo_tariff_guide,maxmalipo_guidance_service_use,provider_buttonpay,buttonpay_deposits_per_week,buttonpay_withdrawls_per_week,buttonpay_num_tills,buttonpay_training,buttonpay_training_type,buttonpay_tariff_guide,buttonpay_guidance_service_use,bank_local_services,ShoppingCentres_local_services,GeneralDealer_local_services,Caf__local_services,Salon_local_services,Pharmacy_local_services,Bar_local_services,Trader_local_services,ElectronicShop_local_services,BureaudeExchange_local_services,Hotel_local_services,CellularShop_local_services,GroceryStore_local_services,Restaurant_local_services,Other_local_services,Other_local_services_detail,services_utility_payments,services_tax_payments,services_MMT_transfer,services_airtime_purchase,Other than those listed above are there any other services provided?,Please indicate,branding_but__service,Please select,branding_but_no_service_MaxMalipo,branding_but_no_service_Selcom,branding_but_no_service_ButtonPay,branding_but_no_service_other,branding_but_no_service_other_detail
Dar es Salaam,Kinondoni,Mabibo,-6.80679,39.22967,A.M Shop,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,0,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,Yes,,,,,Yes,,Yes,Yes,,,,,,,,,
Tabora,Nzega,Nzega Mjini,-4.21905,33.18596,Rahma Shop,Conduct other business,Agrovet,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kitunda,-6.89966,39.16851,Abdu Midundio,Conduct other business,Airtime sales SIM Registration.,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Tandika,-6.87109,39.25593,Adam,Conduct other business,Airtime sales SIM Registration.,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Tabata,-6.81563,39.21806,Abas,Stand Alone Agent,,12 hours,Yes,0,0,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,Yes,,,,,,,,,
Lindi,Kilwa,Masoko,-8.92578,39.51247,Adam Shamkoma,Conduct other business,Airtime sales SIM Registration.,12 hours,Yes,0,0,0,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Market,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Keko,-6.83969,39.2737,Ally Keko Shop,Conduct other business,Airtime sales SIM Registration.,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,
Lindi,Nachingwea,Nambambo,-10.36751,38.76304,Charles Nyambina,Conduct other business,Airtime sales SIM Registration.,12 hours,,,,,,,,,Yes,0,0,2,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Petrol Station,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Tandika,-6.8723,39.2599,Christa,Conduct other business,Airtime sales SIM Registration.,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.7726,39.23503,Abby Shop,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.82567,39.20099,Abc,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.86511,39.20204,Elson Manyoni,Conduct other business,Airtime sales SIM Registration.,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.81039,39.24369,Abdala,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,No,No,No,
Lindi,Lindi Urban,Ndoro,-9.99669,39.71221,Hamza Kasongo,Conduct other business,Airtime sales SIM Registration.,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,Yes,,Yes,,,,,,,,,,Yes,Stationary Shop,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Kigamboni,-6.82291,39.30264,Ibrahim Musa,Conduct other business,Airtime sales SIM Registration.,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Mwananyamala,-6.78188,39.25012,Kasenda,Conduct other business,Airtime sales SIM Registration.,12 hours,Yes,8,8,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Kigamboni,-6.82191,39.30218,Abdala Swai,Stand Alone Agent,,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Tandale,-6.79299,39.24606,Abdalah,Stand Alone Agent,,12 hours,,,,,,,,,Yes,20,20,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.92212,39.23701,Mama Yassin Cafe,Conduct other business,Airtime sales SIM Registration.,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Hardware Shop,Yes,,,Yes,,,,,,,,,
Tabora,Tabora Urban,Gongoni,-5.01731,32.81052,Abdalah Bakari,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.80901,39.2595,Abdalah Hamid,Stand Alone Agent,,12 hours,Yes,30,30,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,
Singida,Singida Urban,Ipembe,-4.81796,34.75325,Abdalah Juma,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,0,Yes,Training from other rep,Yes,Yes,,,,,Yes,,,,,,,,,,Yes,TRA,Yes,Yes,,,,,,,,,,,
Dar es Salaam,Kinondoni,Kibamba,-6.7882,39.07823,Abdalah Kasimu,Stand Alone Agent,,12 hours,,,,,,,,,Yes,20,20,1,No,,No,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Keko,-6.83782,39.27817,Abdalah Kidogori,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,No,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Mbezi,-6.79868,39.10775,Abdalah Michael,Stand Alone Agent,,12 hours,Yes,5,5,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.81119,39.2619,Abdalah Mpalamba,Stand Alone Agent,,12 hours,Yes,5,10,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kivukoni,-6.81852,39.29953,Abdalah Omary Shop,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,35,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,Market,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.91461,39.27091,Abdalah Sadiki,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Furniture sales,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Kigamboni,-6.83625,39.32123,Abdalah Said Bakari Shop,Stand Alone Agent,,12 hours,Yes,0,20,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Mobile Money Agent,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kigogo,-6.82015,39.23604,Abdalah Shop,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,25,25,1,No,,No,Yes,,,,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,
Lindi,Lindi Urban,Ndoro,-9.99711,39.71097,Merseytel Company,Conduct other business,Airtime sales SIM Registration.,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,Yes,,,,Yes,,,,,,,,,,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.81046,39.25615,Abdalah Studio,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,15,15,1,No,,Yes,Yes,,,,,,,,,,Yes,,Yes,,,,,,,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Yombo Vituka,-6.87487,39.22412,Abdallah,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,Yes,Bus stand,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kitunda,-6.9036,39.16944,Msafiri,Conduct other business,Airtime sales SIM Registration.,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kisutu,-6.82066,39.28527,Tigo Shop Jm Hall,Conduct other business,Airtime sales SIM Registration.,12 hours,,,,,,,,,Yes,0,0,0,Yes,Training from other rep,Yes,Yes,,,,,,,,,Yes,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mtoni,-6.86452,39.28281,AbdallahSaidBakari,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,Yes,,,,,,,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.77548,39.24441,Vodacom Shop Millenium Tower,Conduct other business,Airtime sales SIM Registration.,8 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.89635,39.26171,Abdallah Ally,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,Butcher,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kariakoo,-6.81452,39.27505,Abed Juma,Conduct other business,Auto Spares Shop,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,Yes,Petrol Station,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Vingunguti,-6.8446,39.22424,Abdallah Golegole,Stand Alone Agent,,12 hours,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Azimio,-6.87459,39.26982,Bosco John,Conduct other business,Auto Spares Shop,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Buguruni,-6.82884,39.25591,Burahan Ommary Mohamed,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,No,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.89447,39.26639,Abdallah Lingo,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Market,Yes,,,Yes,,,,,,,,,
Kilimanjaro,Hai,Machame Magharibi,-3.36843,36.68815,C. Chao,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,30,10,1,Yes,Training from other rep,No,No,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Yombo Vituka,-6.8938,39.21835,Abdallah Mdoe,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,No,,No,Yes,,,,,,,,,,,,,Yes,,Yes,Petrol Station,Yes,,,Yes,,,,,,,,,
Dodoma,Dodoma Urban,Majengo,-6.1789,35.74323,City Boy,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,20,0,2,Yes,Training from other rep,No,Yes,,,,,,,,,Yes,,,,,,Yes,,,,Yes,,,Yes,Yes,Dodoma Market,,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.9329,39.25343,Doris Katana,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,Hardware Shop,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kitunda,-6.93977,39.17993,Dorisi Stephano,Conduct other business,Auto Spares Shop,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.76517,39.22923,Abdallah Shana,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,Bus stand,Yes,,,Yes,,,,,,,,,
Morogoro,Kilosa,Magole,-6.37762,37.37032,Gasper Lyimo,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,0,5,0,Yes,Training from other rep,Yes,No,,,,,,,,,,,,,,,,,,,,,,,Yes,Auto Spares Shop,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.9252,39.26815,Glory To God Shop,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,Yes,Petrol Station,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.74107,39.23338,Imamba Sana,Conduct other business,Auto Spares Shop,10 hours,,,,,,,,,Yes,25,15,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Toangoma,-6.94883,39.28093,Japhari Kombo,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Hardware Shop,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kimara,-6.80026,39.16747,Abdilah Shop,Stand Alone Agent,,12 hours,Yes,20,35,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Manzese,-6.80214,39.22996,Abdillah Shop,Stand Alone Agent,,12 hours,Yes,0,0,0,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,,Yes,Yes,,,,,,,,,
Iringa,Iringa Urban,Ruaha,-7.79059,35.70063,Kasibila Shop,Conduct other business,Auto Spares Shop,12 hours,Yes,0,0,0,Yes,Training from other rep,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Travel and Tours office,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Mbezi,-6.72927,39.21419,Kasomba Out Parts,Conduct other business,Auto Spares Shop,10 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,Yes,,Yes,,,,,,,,,
Manyara,Kiteto,Olboloti,-5.18151,36.29748,Kiberenge Motorcycle Parts,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,237,0,1,Yes,Training from other rep,No,No,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Chanika,-6.95429,39.10221,Abdul,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.91426,39.27885,Kiwemba And Son Auto Spare,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.91202,39.17191,Ludo Shop,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,Yes,Butcher,Yes,,,Yes,,,,,,,,,
Arusha,Arusha,Daraja Mbili,-3.38132,36.69154,Nemayani Shop,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Yombo Vituka,-6.89095,39.24106,Prisca,Conduct other business,Auto Spares Shop,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,Yes,Yes,Yes,,,,,,,,,
Mwanza,Nyamagana,Pamba,-2.52221,32.90485,Rachel Shop,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,0,20,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,,
Tabora,Tabora Urban,Mbugani,-5.01376,32.79799,Abdulahim,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,,,,,,,,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Buguruni,-6.82924,39.25419,Rahim Shamte Kizua,Conduct other business,Auto Spares Shop,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,No,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,Yes,,,Yes,,,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.0182,32.81238,Abdull,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kiwalani,-6.86075,39.23118,Abdulmaliki Issa Ambokile,Stand Alone Agent,,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,
Arusha,Arusha,Kati,-3.37276,36.68056,Saba Autospare,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,13,10,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Ilala,-6.82855,39.26582,Abdulrahaman Yahya,Stand Alone Agent,,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Temeke,-6.86307,39.26471,Safaa Shop,Conduct other business,Auto Spares Shop,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Tandale,-6.79282,39.2461,Abduly Saidy,Stand Alone Agent,,12 hours,Yes,20,20,1,Yes,Formal classroom training,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Chanika,-6.9397,39.17986,Samwel Mariba,Conduct other business,Auto Spares Shop,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,No,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.89703,39.16703,Abed Ovio,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,
