region,district,ward,latitude,longitude,bus_stand_name,destination_Arusha,destination_Manyara,destination_Singida,destination_Pwani,destination_Mororgoro,destination_Iringa,destination_Ruvuma,destination_Mbeya,destination_Rukwa,destination_Tanga,destination_Kilimanjaro,destination_Tabora,destination_Kigoma,destination_Dodoma,destination_Mwanza,destination_Kagera,destination_Shiyanga,financial_services_offered_major_bus_service,tigo_pesa,mpesa,airtel_cash,ezy_pesa,voucher_money_transfer,num_people_using_vouchers_to_transfer_money,voucher_use_reason,other_services,other_services_details
Mara,Tarime,Tarime,-1.34193,34.37646,Tarime Bus Stand,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,No,,,,
Mbeya,Rungwe,Bulyaga,-9.25869,33.64292,Tukuyu Bus Stand,,,,,Yes,Yes,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,,No,,,,
Dar es Salaam,Kinondoni,Bunju,-6.76998,39.26079,Ubungo Bus Stand,,Yes,,,,,,,,,,,,,,,,,,,,,No,,,,
Mbeya,Mbozi,Vwawa,-9.11037,32.93173,Vwawa Bus Stand,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,,No,,,,
Tabora,Tabora Urban,Mbugani,-5.01312,32.78669,Tabora Town Bus Stand,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,,,,
Pwani,Mkuranga,Mkuranga,-7.11012,39.20558,Mkuranga Bus Stand,,,,Yes,,,,,,,,,,,,,,,,,,,No,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.67853,35.64564,Songea Bus Stand,,,,,,,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,,No,,,,
Mwanza,Kwimba,Bungulwa,-2.75301,33.30301,Bungulwa Stand Bus,,,,,,,,,,,,,,,Yes,,,,,,,,No,,,Yes,Duka
Mwanza,Nyamagana,Nyamagana,-2.53554,32.93968,Buzuruga Bus Stand,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,No,,,Yes,Duka
Mwanza,Misungwi,Misungwi,-2.84183,33.08686,Misungwi Bus Stand,,,,,,,,,,,,,,,Yes,,,,,,,,No,,,Yes,Duka
Mwanza,Kwimba,Ngudu,-2.96363,33.34135,Ngudu Bus Stand,,,,,,,,,,,,,,,Yes,,,,,,,,No,,,Yes,Duka
Mwanza,Geita,Kalangala,-2.87068,32.24091,Geita Bus Stand,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Duka
Mwanza,Magu,Kiloleni,-2.59074,33.44288,Magu Bus Stand,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Duka
Mwanza,Sengerema,Sengerema,-2.65058,32.64273,Sengerema Bus Stand,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,No,,,Yes,Duka
Dodoma,Kongwa,Kongwa,-6.19384,36.40717,Kongwa Bus Stand,,,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,,,,,,,,,No,,,,
Iringa,Mufindi,Mafinga,-8.30179,35.29963,Mafinga Bus Stand,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,,,,
Singida,Iramba,Kiomboi,-4.28079,34.40905,Kiomboi Bus Teminal,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,5,Dont know how to use Mobile Money,,
Mbeya,Mbeya Urban,Sisimba,-8.89649,33.43779,Mbeya Main Centra Bus Terminal,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,45,Dont know how to use Mobile Money,,
Singida,Singida Urban,Majengo,-4.8333,34.75838,Misuna Bus Stand,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,10,Dont know how to use Mobile Money,,
Singida,Manyoni,Manyoni,-5.7542,34.825,Manyoni Bus Terminal,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,5,Dont know how to use Mobile Money,,
Mtwara,Tandahimba,Tandahimba,-10.76983,39.63265,Tandahimba Bus Stand,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,30,Dont know how to use Mobile Money,,
Kigoma,Kigoma Urban,Kigoma town,-4.87756,29.62989,Ahahoro Bus Stand,,,,,,,,,,,,Yes,,,,,Yes,Yes,,Yes,,,Yes,7,No Network Coverage,,
Kigoma,Kigoma Urban,Mwanga,-4.88893,29.6447,Manyovu Bus Stand,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,Yes,12,No Network Coverage,,
Kigoma,Kasulu,Kasulu Mjini,-4.57621,30.09753,Mnalan Bus Stand,Yes,,,,Yes,,Yes,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,12,No Network Coverage,,
Singida,Singida Urban,Majengo,-4.82077,34.76097,Mtei Express Ltd,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,10,No Network Coverage,,
Mtwara,Mtwara Urban,Vigaeni,-10.28177,40.18716,Mtwara Bus Stand,,,,,Yes,,,,,,,,,,,,,Yes,Yes,,,,Yes,3,No Network Coverage,,
Shinyanga,Bukombe,Runzewe,-3.33924,31.5261,Runzewe Bus Stand,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,3,No Network Coverage,,
Kigoma,Kigoma Urban,Mwandinga,-4.83948,29.65968,Mwandiga Bus Stand,,,,,,Yes,,,Yes,,,Yes,,,,,,Yes,Yes,Yes,,,Yes,5,No Network Coverage,,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.35006,36.49132,Mpwapwa Bus Stand,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,No,,,,
